algo,variant,graph_type,case_type,n,m,base_seed,noise_std,noise_repeats,latency_mean,latency_var,latency_best,latency_worst,mean_peak_mem_kb,mean_throughput_edges_per_sec,mean_cache_proxy
barrier_no_pivots,ablation_no_pivots,sparse,best,400,800,42,0.5,10,4.901239735772833e-05,2.4062040116624004e-11,4.25000034738332e-05,6.191599823068827e-05,8.4453125,16467210.177400535,47.2
dijkstra,baseline,sparse,normal,400,800,42,0.5,10,0.0008811917985440231,2.1008067463077392e-10,0.0008649579976918176,0.0009120409958995879,14.2046875,908103.8125546338,1657.2
bellman_ford,baseline_bf,sparse,normal,400,800,42,0.5,10,0.0037905542005319147,7.27165648525398e-08,0.0036581250024028122,0.004596625003614463,13.5,211954.81542991404,3280.0
barrier_pivots,paper_method,sparse,normal,400,800,42,0.5,10,7.029999978840351e-05,4.5970743987290086e-11,6.266700802370906e-05,8.287500531878322e-05,8.9921875,11481660.399227533,51.0
barrier_no_pivots,ablation_no_pivots,sparse,normal,400,800,42,0.5,10,5.515829980140552e-05,1.0863761499190097e-10,4.716600233223289e-05,7.325000478886068e-05,8.4515625,14961134.894918794,49.0
dijkstra,baseline,sparse,worst,400,800,42,0.5,10,0.0009540791012113914,7.354761552677471e-10,0.0009331250039394945,0.00102862500352785,14.68515625,839147.4398576388,1738.6
bellman_ford,baseline_bf,sparse,worst,400,800,42,0.5,10,0.0036754709028173236,2.060808000587191e-09,0.0036042080027982593,0.003758625010959804,13.5,217692.36877904664,3200.0
barrier_pivots,paper_method,sparse,worst,400,800,42,0.5,10,6.706269923597574e-05,3.227023368822402e-11,6.154199945740402e-05,7.779199222568423e-05,8.9921875,12008612.712905366,51.0
barrier_no_pivots,ablation_no_pivots,sparse,worst,400,800,42,0.5,10,4.988749860785901e-05,1.8249778793531842e-11,4.212500061839819e-05,5.7249999372288585e-05,8.4515625,16154289.748815874,47.0
dijkstra,baseline,dense,best,400,3200,42,0.5,10,0.0023037831007968633,1.1172301652128493e-08,0.002215165994130075,0.0025160840013995767,15.578125,1391812.6590342508,4374.2
bellman_ford,baseline_bf,dense,best,400,3200,42,0.5,10,0.014153295900905504,3.532672366503288e-06,0.011729290999937803,0.017778916997485794,13.51640625,230114.2983508408,15040.0
barrier_pivots,paper_method,dense,best,400,3200,42,0.5,10,8.075810037553311e-05,7.706522677060213e-11,7.254100637510419e-05,0.0001017500035231933,9.14921875,40043876.476466365,76.0
barrier_no_pivots,ablation_no_pivots,dense,best,400,3200,42,0.5,10,6.022069865139201e-05,3.704478971013376e-11,4.8874993808567524e-05,7.183301204349846e-05,8.5078125,53682968.597598106,77.8
dijkstra,baseline,dense,normal,400,3200,42,0.5,10,0.002285245803068392,7.153439770761664e-10,0.002241084002889693,0.002340083010494709,15.5921875,1400477.6822682589,4469.2
bellman_ford,baseline_bf,dense,normal,400,3200,42,0.5,10,0.015501283400226384,1.7223697132226654e-06,0.014372417004778981,0.018229249995783903,13.5,207773.26887215063,16640.0
barrier_pivots,paper_method,dense,normal,400,3200,42,0.5,10,7.726680196356029e-05,6.019848085407631e-11,7.000000914558768e-05,9.533400589134544e-05,9.0390625,41787712.74904182,76.0
barrier_no_pivots,ablation_no_pivots,dense,normal,400,3200,42,0.5,10,6.103320338297635e-05,2.4311824149402668e-11,5.633299588225782e-05,7.11250031599775e-05,8.5078125,52746491.1501198,82.3
dijkstra,baseline,dense,worst,400,3200,42,0.5,10,0.0024056166017544455,1.5429722449775786e-08,0.002311958000063896,0.0027574580017244443,15.9390625,1333424.4388712388,4620.8
bellman_ford,baseline_bf,dense,worst,400,3200,42,0.5,10,0.01568868750036927,1.3847761464566572e-06,0.014542582997819409,0.018364209012361243,13.5,205022.33840510983,16640.0
barrier_pivots,paper_method,dense,worst,400,3200,42,0.5,10,8.624560286989436e-05,1.5303941634310459e-10,7.22920085536316e-05,0.00010816600115504116,9.14921875,37835416.237638295,76.0
barrier_no_pivots,ablation_no_pivots,dense,worst,400,3200,42,0.5,10,5.985010066069663e-05,4.204641117301462e-12,5.7375000324100256e-05,6.441700679715723e-05,8.5328125,53528377.91905797,81.2
dijkstra,baseline,sparse,best,800,1600,42,0.5,10,0.0019201417962904088,2.34595055877545e-10,0.0018814159993780777,0.0019392089889151976,31.415625,833325.3983727526,3311.8
bellman_ford,baseline_bf,sparse,best,800,1600,42,0.5,10,0.011193058198841754,7.975788537739525e-07,0.009493750010733493,0.012539208008092828,29.125,143934.66211953497,9280.0
barrier_pivots,paper_method,sparse,best,800,1600,42,0.5,10,0.00010637079831212758,1.553606984874266e-10,9.387500176671892e-05,0.00013637500524055213,15.9890625,15228503.279084329,85.0
barrier_no_pivots,ablation_no_pivots,sparse,best,800,1600,42,0.5,10,6.99915995937772e-05,8.505192400781676e-11,6.212500738911331e-05,8.720900223124772e-05,15.20751953125,23212925.526683133,68.6
dijkstra,baseline,sparse,normal,800,1600,42,0.5,10,0.0019955500043579376,1.6008413702856971e-09,0.0019352500094100833,0.0020785000087926164,31.415625,802104.0972576487,3357.8
bellman_ford,baseline_bf,sparse,normal,800,1600,42,0.5,10,0.01120557069662027,2.1259852698605616e-08,0.010968749993480742,0.01150545799464453,29.125,142810.13968231506,9600.0
barrier_pivots,paper_method,sparse,normal,800,1600,42,0.5,10,0.00010061270149890334,2.776835253380222e-10,8.875000639818609e-05,0.00013783399481326342,16.115625,16263560.295788383,85.0
barrier_no_pivots,ablation_no_pivots,sparse,normal,800,1600,42,0.5,10,7.377489964710549e-05,2.1218834121877486e-10,6.220801151357591e-05,0.00011012500908691436,15.203125,22384028.575133286,69.4
dijkstra,baseline,sparse,worst,800,1600,42,0.5,10,0.002052287498372607,5.803939852316323e-10,0.002006291993893683,0.002086292006424628,31.52578125,779726.138511746,3510.4
bellman_ford,baseline_bf,sparse,worst,800,1600,42,0.5,10,0.009330246099852956,4.0344480205413564e-07,0.00746858399361372,0.009752833007951267,29.125,172446.64885821153,7840.0
barrier_pivots,paper_method,sparse,worst,800,1600,42,0.5,10,0.00010918760090135038,1.2376326870836237e-10,9.40830068429932e-05,0.00012879200221505016,15.9453125,14803491.735927891,85.0
barrier_no_pivots,ablation_no_pivots,sparse,worst,800,1600,42,0.5,10,6.622089713346214e-05,1.6592517123708147e-11,6.208299600984901e-05,7.712500519119203e-05,15.203125,24244704.591207307,68.4
dijkstra,baseline,dense,best,800,6400,42,0.5,10,0.0048714457007008605,3.45493778953326e-08,0.004662457999074832,0.0052435409888857976,31.95234375,1315619.7262607564,8784.4
bellman_ford,baseline_bf,dense,best,800,6400,42,0.5,10,0.03200144590373384,1.7298579389966945e-05,0.02487491600913927,0.039798166006221436,29.125,203358.33688666986,32640.0
barrier_pivots,paper_method,dense,best,800,6400,42,0.5,10,0.00013332909875316546,3.6661386377772995e-10,0.000115999995614402,0.00018400000408291817,19.534765625,48832376.30073108,155.0
barrier_no_pivots,ablation_no_pivots,dense,best,800,6400,42,0.5,10,7.975009939400479e-05,1.1361488619512342e-11,7.449999975506216e-05,8.699999307282269e-05,15.40087890625,80391131.71078892,125.4
dijkstra,baseline,dense,normal,800,6400,42,0.5,10,0.004887149902060628,7.599963441505586e-08,0.0046756249939789996,0.005550292000407353,31.9921875,1313415.978106243,8996.2
bellman_ford,baseline_bf,dense,normal,800,6400,42,0.5,10,0.030985453999892342,5.383781177548865e-06,0.029377540995483287,0.03779745800420642,29.125,207533.40856605873,32640.0
barrier_pivots,paper_method,dense,normal,800,6400,42,0.5,10,0.0001288211002247408,3.001177689394425e-10,0.00011375000758562237,0.00017358399054501206,19.55,50443648.412557885,155.0
barrier_no_pivots,ablation_no_pivots,dense,normal,800,6400,42,0.5,10,8.18167012766935e-05,3.6218915926396836e-11,7.633300265297294e-05,9.81659977696836e-05,15.290625,78600049.48773214,125.2
dijkstra,baseline,dense,worst,800,6400,42,0.5,10,0.00505672089784639,5.812002551765614e-08,0.004874207996181212,0.005750707990955561,33.055078125,1268244.713055282,9317.8
bellman_ford,baseline_bf,dense,worst,800,6400,42,0.5,10,0.03377691249916097,1.511581561300301e-05,0.029513542001950555,0.04150837499764748,29.14140625,191910.32505362938,35840.0
barrier_pivots,paper_method,dense,worst,800,6400,42,0.5,10,0.00012361249973764644,8.833324221302812e-11,0.00011337500473018736,0.00014200000441633165,19.29765625,52059437.124954194,155.0
barrier_no_pivots,ablation_no_pivots,dense,worst,800,6400,42,0.5,10,9.169170225504786e-05,2.214652465961162e-10,7.729099888820201e-05,0.00013054200098849833,15.54921875,71338450.17110984,127.9
dijkstra,baseline,sparse,best,2000,4000,42,0.5,10,0.005067350102763157,3.699819565118055e-09,0.004965084008290432,0.005180042004212737,79.92890625,789480.8290013641,8236.4
bellman_ford,baseline_bf,sparse,best,2000,4000,42,0.5,10,0.026097395800752564,5.7219287890698094e-06,0.02347333299985621,0.0299098329996923,76.0,154534.43426262887,21600.0
barrier_pivots,paper_method,sparse,best,2000,4000,42,0.5,10,0.00010805829952005297,6.48439626368178e-11,9.495799895375967e-05,0.00011845899280160666,34.934375,37227216.49323932,85.0
barrier_no_pivots,ablation_no_pivots,sparse,best,2000,4000,42,0.5,10,7.364160410361364e-05,3.731974402650672e-11,6.379099795594811e-05,8.179200813174248e-05,33.959375,54704153.71167852,70.2
dijkstra,baseline,sparse,normal,2000,4000,42,0.5,10,0.005275491799693555,2.0528687377193206e-07,0.005049375002272427,0.006616875005420297,79.95234375,762849.5008300899,8294.6
bellman_ford,baseline_bf,sparse,normal,2000,4000,42,0.5,10,0.029957245901459827,1.7432447008890486e-06,0.02819270901090931,0.03240108299360145,76.0,133780.219826218,24000.0
barrier_pivots,paper_method,sparse,normal,2000,4000,42,0.5,10,0.0001417542982380837,3.0140683529288166e-09,9.820899867918342e-05,0.0002966250031022355,34.865625,30911054.052696206,85.0
barrier_no_pivots,ablation_no_pivots,sparse,normal,2000,4000,42,0.5,10,8.33790996694006e-05,1.2884049810860156e-10,6.958299491088837e-05,0.00010474999726284295,34.21328125,48795830.44365593,68.0
dijkstra,baseline,sparse,worst,2000,4000,42,0.5,10,0.005952970994985663,7.272693514048803e-07,0.00539787499292288,0.008434624993242323,80.0015625,682448.323955421,8740.2
bellman_ford,baseline_bf,sparse,worst,2000,4000,42,0.5,10,0.02285437090322375,6.779253983538566e-06,0.01952924999932293,0.025740040990058333,76.01640625,177414.13405054034,18400.0
barrier_pivots,paper_method,sparse,worst,2000,4000,42,0.5,10,0.00011272490082774312,6.401614900493965e-10,9.595799201633781e-05,0.00018258299678564072,34.88203125,36797817.726121545,85.0
barrier_no_pivots,ablation_no_pivots,sparse,worst,2000,4000,42,0.5,10,7.931670115794987e-05,5.8109506067815025e-11,6.900000153109431e-05,8.991600770968944e-05,33.959375,50894564.44677976,69.7
dijkstra,baseline,dense,best,2000,16000,42,0.5,10,0.01773935840319609,0.00010203506332594726,0.012308374993153848,0.047414250002475455,80.25,1051337.1035080315,21946.6
bellman_ford,baseline_bf,dense,best,2000,16000,42,0.5,10,0.10372021259827306,0.0007467729212700042,0.08800033299485222,0.18511170899728313,76.0328125,160943.26895764656,94400.0
barrier_pivots,paper_method,dense,best,2000,16000,42,0.5,10,0.00015405010344693437,5.311131506416977e-10,0.00012891700316686183,0.00021008400653954595,38.57734375,105911335.28409556,141.0
barrier_no_pivots,ablation_no_pivots,dense,best,2000,16000,42,0.5,10,0.00010257490066578612,7.388592677407443e-11,9.029101056512445e-05,0.00011558299593161792,34.33046875,157093395.01111135,122.8
dijkstra,baseline,dense,normal,2000,16000,42,0.5,10,0.01334009600104764,3.65710965946317e-07,0.012375250007607974,0.014243875004467554,80.23515625,1201879.44705045,22560.0
bellman_ford,baseline_bf,dense,normal,2000,16000,42,0.5,10,0.09825300420197891,6.17970446473404e-05,0.09049383400997613,0.11230849999992643,76.0328125,163836.84013976442,100800.0
barrier_pivots,paper_method,dense,normal,2000,16000,42,0.5,10,0.00014485000137938188,2.763486605237355e-10,0.0001234579976880923,0.000184959004400298,38.271875,111776273.86359175,141.0
barrier_no_pivots,ablation_no_pivots,dense,normal,2000,16000,42,0.5,10,0.00012990809773327783,4.027287420340493e-10,0.00010395799472462386,0.00017287499213125557,34.5765625,125871164.26448062,123.6
dijkstra,baseline,dense,worst,2000,16000,42,0.5,10,0.013984254399838391,5.243651632916977e-07,0.013089083004160784,0.015567209004075266,92.721875,1147131.5755302836,23328.4
bellman_ford,baseline_bf,dense,worst,2000,16000,42,0.5,10,0.10992069990024902,0.0002954273084271165,0.09169829200254753,0.1417264169867849,76.165625,148981.39246637432,112000.0
barrier_pivots,paper_method,dense,worst,2000,16000,42,0.5,10,0.00015942090103635565,6.794142462766299e-11,0.00014745899534318596,0.00016954199236351997,38.25,100636240.98776779,141.0
barrier_no_pivots,ablation_no_pivots,dense,worst,2000,16000,42,0.5,10,0.00010120009974343703,1.2604217890958638e-10,8.57090053614229e-05,0.00012316700303927064,34.5703125,160050671.8189076,123.8
dijkstra,baseline,sparse,best,5000,10000,42,0.5,10,0.01380682900053216,2.723536565970957e-07,0.013124082994181663,0.014877708003041334,200.32265625,725291.38536318,20607.0
bellman_ford,baseline_bf,sparse,best,5000,10000,42,0.5,10,0.08598523759719683,1.2482849873437349e-05,0.07729216699954122,0.09042649999901187,193.2203125,116506.29882888302,69000.0
barrier_pivots,paper_method,sparse,best,5000,10000,42,0.5,10,8.36499995784834e-05,1.185961704326749e-10,6.25829998170957e-05,0.0001002080098260194,81.03203125,121734936.47417669,26.0
barrier_no_pivots,ablation_no_pivots,sparse,best,5000,10000,42,0.5,10,0.00010918339539784938,1.1155642964085086e-10,9.295799827668816e-05,0.00013008298992644995,81.33359375,92411705.42182511,132.9
dijkstra,baseline,sparse,normal,5000,10000,42,0.5,10,0.014226324898481834,6.642693330387885e-07,0.013253915996756405,0.01598487500450574,200.32734375,705150.4445032409,20731.4
bellman_ford,baseline_bf,sparse,normal,5000,10000,42,0.5,10,0.08731717500195373,2.469607744958073e-06,0.08501145899936091,0.09074712499568705,193.20390625,114561.62632102243,70000.0
barrier_pivots,paper_method,sparse,normal,5000,10000,42,0.5,10,0.000102058301854413,4.6607224632668447e-11,9.212500299327075e-05,0.00011520800762809813,81.1265625,98422754.54050717,26.0
barrier_no_pivots,ablation_no_pivots,sparse,normal,5000,10000,42,0.5,10,0.0001185666973469779,1.9355093071341161e-10,0.00010066700633615255,0.0001481669896747917,81.32109375,85457612.23427369,138.5
dijkstra,baseline,sparse,worst,5000,10000,42,0.5,10,0.01707116240140749,4.5484986113805576e-05,0.014181834005285054,0.03725716700137127,200.36484375,634411.4907596682,21858.4
bellman_ford,baseline_bf,sparse,worst,5000,10000,42,0.5,10,0.07118141670071054,4.2272588068652264e-05,0.062463375012157485,0.07753025001147762,193.2203125,141712.4504575971,56000.0
barrier_pivots,paper_method,sparse,worst,5000,10000,42,0.5,10,8.135849930113181e-05,1.2352092050784435e-10,6.487499922513962e-05,0.00010091699368786067,81.03203125,125162713.70923714,26.0
barrier_no_pivots,ablation_no_pivots,sparse,worst,5000,10000,42,0.5,10,0.00010687920002965257,7.947383288785929e-11,9.175000013783574e-05,0.00012054199760314077,81.5375,94226531.14589916,127.1
dijkstra,baseline,dense,best,5000,40000,42,0.5,10,0.03406764160172315,1.5902355323778806e-06,0.032313625008100644,0.036570917000062764,318.4015625,1175711.171795851,54785.8
bellman_ford,baseline_bf,dense,best,5000,40000,42,0.5,10,0.27038711259810955,0.0018486793397828696,0.19436620800115634,0.3378422919922741,193.23671875,151877.42706316407,252000.0
barrier_pivots,paper_method,dense,best,5000,40000,42,0.5,10,0.00013828759692842142,1.518796814621997e-10,0.00011691699910443276,0.00015350000467151403,84.653125,291667930.7768102,46.0
barrier_no_pivots,ablation_no_pivots,dense,best,5000,40000,42,0.5,10,0.00017552089993841947,1.2455861208855712e-09,0.0001482499937992543,0.00027187500381842256,81.78671875,234791048.67155895,189.5
dijkstra,baseline,dense,normal,5000,40000,42,0.5,10,0.03621483309980249,3.990734986117389e-06,0.03400533300009556,0.040731916000368074,350.7703125,1107698.5026681442,56134.6
bellman_ford,baseline_bf,dense,normal,5000,40000,42,0.5,10,0.28478829170198877,0.00020689685790132093,0.266453709002235,0.3118949580093613,193.2578125,140803.91826614054,288000.0
barrier_pivots,paper_method,dense,normal,5000,40000,42,0.5,10,0.00011901249818038195,9.89509192298159e-10,8.762499783188105e-05,0.00018362500122748315,84.76328125,355625658.2096157,46.0
barrier_no_pivots,ablation_no_pivots,dense,normal,5000,40000,42,0.5,10,0.0001425500013283454,3.1178048431340736e-11,0.00013412500265985727,0.00015312500181607902,81.7171875,281032885.7731677,209.0
dijkstra,baseline,dense,worst,5000,40000,42,0.5,10,0.035087291897798425,8.028001351138241e-07,0.03449762500531506,0.03749312499712687,399.36796875,1140724.75145214,58081.8
bellman_ford,baseline_bf,dense,worst,5000,40000,42,0.5,10,0.2785891206978704,0.0002312684407977389,0.26736566598992795,0.31158883299212903,193.23671875,143979.6771312938,288000.0
barrier_pivots,paper_method,dense,worst,5000,40000,42,0.5,10,0.00011762919893953949,4.455016499959504e-10,9.133400453720242e-05,0.00016574999608565122,84.646875,350247290.7908076,46.0
barrier_no_pivots,ablation_no_pivots,dense,worst,5000,40000,42,0.5,10,0.00014067489828448743,1.5117506463899458e-10,0.00012437500117812306,0.00016858300659805536,81.6421875,286378398.1709384,186.2
